id,Last Name,First Name,Congress Number,Year at Start of Congress,State Code,Chamber of Congress,Congressional District,Party,Year First Elected,Gender,Size of House Delegation from Member's State,Race,Total Bills Sponsored,Total Bills with Action in Committee,Total Bills with Action Beyond Committee,Total Bills Passed Chamber,Total Bills Became Law,""
1965,Matheson,Jim,110.0,2007.0,UT,House of Representative,2.0,Democrat,2000.0,Male,3.0,Caucasian,21.0,4.0,5.0,4.0,0.0,
1966,Matsui,Doris,110.0,2007.0,CA,House of Representative,5.0,Democrat,2005.0,Female,53.0,Asian-American,18.0,1.0,1.0,1.0,0.0,
1967,McCain,John,110.0,2007.0,AZ,Senate,State-Wide,Republican,1986.0,Male,8.0,Caucasian,21.0,9.0,6.0,2.0,0.0,
1968,McCarthy,Carolyn,110.0,2007.0,NY,House of Representative,4.0,Democrat,1996.0,Female,29.0,Caucasian,43.0,2.0,4.0,2.0,1.0,
1969,McCarthy,Kevin,110.0,2007.0,CA,House of Representative,22.0,Republican,2006.0,Male,53.0,Caucasian,9.0,1.0,1.0,1.0,1.0,
1970,McCaskill,Claire,110.0,2007.0,MO,Senate,State-Wide,Democrat,2006.0,Female,9.0,Caucasian,18.0,4.0,4.0,3.0,1.0,
1971,McCaul,Michael,110.0,2007.0,TX,House of Representative,10.0,Republican,2004.0,Male,32.0,Caucasian,7.0,2.0,2.0,1.0,0.0,
1972,McCollum,Betty,110.0,2007.0,MN,House of Representative,4.0,Democrat,2000.0,Female,8.0,Caucasian,15.0,1.0,1.0,1.0,1.0,
1973,McConnell,Mitch,110.0,2007.0,KY,Senate,State-Wide,Republican,1984.0,Male,6.0,Caucasian,12.0,1.0,2.0,1.0,1.0,
1974,McCotter,Thaddeus,110.0,2007.0,MI,House of Representative,11.0,Republican,2002.0,Male,15.0,Caucasian,11.0,0.0,0.0,0.0,0.0,
1975,McCrery,Jim,110.0,2007.0,LA,House of Representative,4.0,Republican,1988.0,Male,7.0,Caucasian,4.0,0.0,0.0,0.0,0.0,
1976,McDermott,Jim,110.0,2007.0,WA,House of Representative,7.0,Democrat,1988.0,Male,9.0,Caucasian,44.0,1.0,5.0,5.0,3.0,
1977,McGovern,James,110.0,2007.0,MA,House of Representative,3.0,Democrat,1996.0,Male,10.0,Caucasian,15.0,3.0,4.0,1.0,1.0,
1978,McHenry,Patrick,110.0,2007.0,NC,House of Representative,10.0,Republican,2004.0,Male,13.0,Caucasian,4.0,0.0,0.0,0.0,0.0,
1979,McHugh,John,110.0,2007.0,NY,House of Representative,23.0,Republican,1992.0,Male,29.0,Caucasian,26.0,1.0,1.0,0.0,0.0,
1980,McIntyre,Mike,110.0,2007.0,NC,House of Representative,7.0,Democrat,1996.0,Male,13.0,Caucasian,7.0,3.0,2.0,2.0,0.0,
1981,McKeon,Howard,110.0,2007.0,CA,House of Representative,25.0,Republican,1992.0,Male,53.0,Caucasian,15.0,1.0,1.0,1.0,0.0,
1982,McMorris Rodgers,Cathy,110.0,2007.0,WA,House of Representative,5.0,Republican,2004.0,Female,9.0,Caucasian,9.0,1.0,0.0,0.0,0.0,
1983,McNerney,Jerry,110.0,2007.0,CA,House of Representative,11.0,Democrat,2006.0,Male,53.0,Caucasian,10.0,2.0,2.0,1.0,0.0,
1984,McNulty,Michael,110.0,2007.0,NY,House of Representative,21.0,Democrat,1988.0,Male,29.0,Caucasian,5.0,1.0,1.0,0.0,0.0,
1985,Meehan,Martin,110.0,2007.0,MA,House of Representative,5.0,Democrat,1992.0,Male,10.0,Caucasian,9.0,0.0,1.0,1.0,0.0,
1986,Meek,Kendrick,110.0,2007.0,FL,House of Representative,17.0,Democrat,2002.0,Male,25.0,African-American,21.0,0.0,1.0,1.0,0.0,
1987,Meeks,Gregory,110.0,2007.0,NY,House of Representative,6.0,Democrat,1998.0,Male,29.0,African-American,7.0,1.0,1.0,1.0,0.0,
1988,Melancon,Charlie,110.0,2007.0,LA,House of Representative,3.0,Democrat,2004.0,Male,7.0,Caucasian,16.0,0.0,1.0,1.0,1.0,
1989,Menendez,Robert,110.0,2007.0,NJ,Senate,State-Wide,Democrat,2006.0,Male,13.0,Latino/a,63.0,4.0,3.0,0.0,0.0,
1990,Mica,John,110.0,2007.0,FL,House of Representative,7.0,Republican,1992.0,Male,25.0,Caucasian,8.0,0.0,1.0,1.0,1.0,
1991,Michaud,Michael,110.0,2007.0,ME,House of Representative,2.0,Democrat,2002.0,Male,2.0,Caucasian,18.0,6.0,5.0,5.0,0.0,
1992,Mikulski,Barbara,110.0,2007.0,MD,Senate,State-Wide,Democrat,1986.0,Female,8.0,Caucasian,20.0,6.0,6.0,1.0,1.0,
1993,Millender-McDonald,Juanita,110.0,2007.0,CA,House of Representative,37.0,Democrat,1996.0,Female,53.0,African-American,2.0,0.0,0.0,0.0,0.0,
1994,Miller,Brad,110.0,2007.0,NC,House of Representative,13.0,Democrat,2002.0,Male,13.0,Caucasian,9.0,3.0,3.0,2.0,0.0,
1995,Miller,George,110.0,2007.0,CA,House of Representative,7.0,Democrat,1974.0,Male,53.0,Caucasian,40.0,14.0,25.0,22.0,4.0,
1996,Miller,Candice,110.0,2007.0,MI,House of Representative,10.0,Republican,2002.0,Female,15.0,Caucasian,4.0,1.0,1.0,1.0,1.0,
1997,Miller,Jeff,110.0,2007.0,FL,House of Representative,1.0,Republican,2001.0,Male,25.0,Caucasian,13.0,3.0,3.0,3.0,1.0,
1998,Miller,Gary,110.0,2007.0,CA,House of Representative,42.0,Republican,1998.0,Male,53.0,Caucasian,9.0,1.0,3.0,3.0,0.0,
1999,Mitchell,Harry,110.0,2007.0,AZ,House of Representative,5.0,Democrat,2006.0,Male,8.0,Caucasian,9.0,1.0,1.0,1.0,0.0,
2000,Mollohan,Alan,110.0,2007.0,WV,House of Representative,1.0,Democrat,1982.0,Male,3.0,Caucasian,4.0,2.0,2.0,1.0,1.0,
2001,Moore,Dennis,110.0,2007.0,KS,House of Representative,3.0,Democrat,1998.0,Male,4.0,Caucasian,19.0,6.0,8.0,8.0,2.0,
2002,Moore,Gwen,110.0,2007.0,WI,House of Representative,4.0,Democrat,2004.0,Female,8.0,African-American,12.0,0.0,1.0,1.0,0.0,
2003,Moran,James,110.0,2007.0,VA,House of Representative,8.0,Democrat,1990.0,Male,11.0,Caucasian,16.0,3.0,2.0,1.0,0.0,
2004,Moran,Jerry,110.0,2007.0,KS,House of Representative,1.0,Republican,1996.0,Male,4.0,Caucasian,13.0,1.0,2.0,2.0,0.0,
2005,Murkowski,Lisa,110.0,2007.0,AK,Senate,State-Wide,Republican,2002.0,Female,1.0,Caucasian,28.0,8.0,8.0,1.0,1.0,
2006,Murphy,Christopher,110.0,2007.0,CT,House of Representative,5.0,Democrat,2006.0,Male,5.0,Caucasian,15.0,2.0,2.0,2.0,0.0,
2007,Murphy,Patrick,110.0,2007.0,PA,House of Representative,8.0,Democrat,2006.0,Male,19.0,Caucasian,16.0,2.0,1.0,1.0,1.0,
2008,Murphy,Tim,110.0,2007.0,PA,House of Representative,18.0,Republican,2002.0,Male,19.0,Caucasian,27.0,0.0,0.0,0.0,0.0,
2009,Murray,Patty,110.0,2007.0,WA,Senate,State-Wide,Democrat,1992.0,Female,9.0,Caucasian,35.0,5.0,5.0,2.0,1.0,
2010,Murtha,John,110.0,2007.0,PA,House of Representative,12.0,Democrat,1974.0,Male,19.0,Caucasian,3.0,1.0,1.0,1.0,1.0,
2011,Musgrave,Marilyn,110.0,2007.0,CO,House of Representative,4.0,Republican,2002.0,Female,7.0,Caucasian,16.0,2.0,2.0,2.0,1.0,
2012,Myrick,Sue,110.0,2007.0,NC,House of Representative,9.0,Republican,1994.0,Female,13.0,Caucasian,21.0,1.0,0.0,0.0,0.0,
2013,Nadler,Jerrold,110.0,2007.0,NY,House of Representative,8.0,Democrat,1992.0,Male,29.0,Caucasian,17.0,1.0,0.0,0.0,0.0,
2014,Napolitano,Grace,110.0,2007.0,CA,House of Representative,38.0,Democrat,1998.0,Female,53.0,Latino/a,5.0,1.0,1.0,1.0,0.0,
2015,Neal,Richard,110.0,2007.0,MA,House of Representative,2.0,Democrat,1988.0,Male,10.0,Caucasian,17.0,0.0,0.0,0.0,0.0,
2016,Nelson,Ben,110.0,2007.0,NE,Senate,State-Wide,Democrat,2000.0,Male,3.0,Caucasian,15.0,3.0,1.0,1.0,1.0,
2017,Nelson,Bill,110.0,2007.0,FL,Senate,State-Wide,Democrat,2000.0,Male,25.0,Caucasian,43.0,12.0,9.0,4.0,2.0,
2018,Neugebauer,Randy,110.0,2007.0,TX,House of Representative,19.0,Republican,2003.0,Male,32.0,Caucasian,9.0,0.0,1.0,1.0,0.0,
2019,Norton,Eleanor,110.0,2007.0,DC,House of Representative,1.0,Democrat,1990.0,Female,1.0,African-American,43.0,12.0,13.0,8.0,3.0,
2020,Norwood,Charles,110.0,2007.0,GA,House of Representative,10.0,Republican,1994.0,Male,13.0,Caucasian,4.0,0.0,1.0,1.0,1.0,
2021,Nunes,Devin,110.0,2007.0,CA,House of Representative,21.0,Republican,2002.0,Male,53.0,Latino/a,12.0,1.0,1.0,1.0,0.0,
2022,Obama,Barack,110.0,2007.0,IL,Senate,State-Wide,Democrat,2004.0,Male,19.0,African-American,60.0,3.0,3.0,1.0,1.0,
2023,Oberstar,James,110.0,2007.0,MN,House of Representative,8.0,Democrat,1974.0,Male,8.0,Caucasian,39.0,25.0,27.0,22.0,10.0,
2024,Obey,David,110.0,2007.0,WI,House of Representative,7.0,Democrat,1969.0,Male,8.0,Caucasian,10.0,2.0,6.0,6.0,1.0,
2025,Olver,John,110.0,2007.0,MA,House of Representative,1.0,Democrat,1991.0,Male,10.0,Caucasian,8.0,3.0,2.0,2.0,2.0,
2026,Ortiz,Solomon,110.0,2007.0,TX,House of Representative,27.0,Democrat,1982.0,Male,32.0,Latino/a,6.0,2.0,1.0,1.0,0.0,
2027,Pallone,Frank,110.0,2007.0,NJ,House of Representative,6.0,Democrat,1988.0,Male,13.0,Caucasian,37.0,6.0,7.0,4.0,2.0,
2028,Pascrell,Bill,110.0,2007.0,NJ,House of Representative,8.0,Democrat,1996.0,Male,13.0,Caucasian,29.0,3.0,3.0,2.0,0.0,
2029,Pastor,Ed,110.0,2007.0,AZ,House of Representative,4.0,Democrat,1991.0,Male,8.0,Latino/a,8.0,3.0,1.0,0.0,0.0,
2030,Paul,Ron,110.0,2007.0,TX,House of Representative,14.0,Republican,1996.0,Male,32.0,Caucasian,66.0,0.0,0.0,0.0,0.0,
2031,Payne,Donald,110.0,2007.0,NJ,House of Representative,10.0,Democrat,1988.0,Male,13.0,African-American,14.0,3.0,3.0,3.0,1.0,
2032,Pearce,Stevan,110.0,2007.0,NM,House of Representative,2.0,Republican,2002.0,Male,3.0,Caucasian,35.0,5.0,4.0,1.0,0.0,
2033,Pelosi,Nancy,110.0,2007.0,CA,House of Representative,8.0,Democrat,1987.0,Female,53.0,Caucasian,9.0,1.0,2.0,2.0,2.0,
2034,Pence,Mike,110.0,2007.0,IN,House of Representative,6.0,Republican,2000.0,Male,9.0,Caucasian,4.0,0.0,0.0,0.0,0.0,
2035,Perlmutter,Ed,110.0,2007.0,CO,House of Representative,7.0,Democrat,2006.0,Male,7.0,Caucasian,12.0,4.0,4.0,3.0,1.0,
2036,Peterson,Collin,110.0,2007.0,MN,House of Representative,7.0,Democrat,1990.0,Male,8.0,Caucasian,13.0,2.0,6.0,6.0,4.0,
2037,Peterson,John,110.0,2007.0,PA,House of Representative,5.0,Republican,1996.0,Male,19.0,Caucasian,6.0,0.0,0.0,0.0,0.0,
2038,Petri,Thomas,110.0,2007.0,WI,House of Representative,6.0,Republican,1979.0,Male,8.0,Caucasian,11.0,0.0,0.0,0.0,0.0,
2039,Pickering,Charles,110.0,2007.0,MS,House of Representative,3.0,Republican,1996.0,Male,4.0,Caucasian,4.0,1.0,1.0,1.0,1.0,
2040,Pitts,Joseph,110.0,2007.0,PA,House of Representative,16.0,Republican,1996.0,Male,19.0,Caucasian,8.0,0.0,0.0,0.0,0.0,
2041,Platts,Todd,110.0,2007.0,PA,House of Representative,19.0,Republican,2000.0,Male,19.0,Caucasian,12.0,0.0,0.0,0.0,0.0,
2042,Poe,Ted,110.0,2007.0,TX,House of Representative,2.0,Republican,2004.0,Male,32.0,Caucasian,18.0,1.0,1.0,1.0,1.0,
2043,Pomeroy,Earl,110.0,2007.0,ND,House of Representative,1.0,Democrat,1992.0,Male,1.0,Caucasian,36.0,0.0,1.0,1.0,0.0,
2044,Porter,Jon,110.0,2007.0,NV,House of Representative,3.0,Republican,2002.0,Male,3.0,Caucasian,12.0,2.0,5.0,4.0,0.0,
2045,Price,David,110.0,2007.0,NC,House of Representative,4.0,Democrat,1996.0,Male,13.0,Caucasian,22.0,5.0,3.0,2.0,1.0,
2046,Price,Tom,110.0,2007.0,GA,House of Representative,6.0,Republican,2004.0,Male,13.0,Caucasian,9.0,0.0,0.0,0.0,0.0,
2047,Pryce,Deborah,110.0,2007.0,OH,House of Representative,15.0,Republican,1992.0,Female,18.0,Caucasian,7.0,1.0,1.0,1.0,1.0,
2048,Pryor,Mark,110.0,2007.0,AR,Senate,State-Wide,Democrat,2002.0,Male,4.0,Caucasian,27.0,7.0,8.0,3.0,2.0,
2049,Putnam,Adam,110.0,2007.0,FL,House of Representative,12.0,Republican,2000.0,Male,25.0,Caucasian,5.0,0.0,0.0,0.0,0.0,
2050,Radanovich,George,110.0,2007.0,CA,House of Representative,19.0,Republican,1994.0,Male,53.0,Caucasian,4.0,2.0,2.0,2.0,0.0,
2051,Rahall,Nick,110.0,2007.0,WV,House of Representative,3.0,Democrat,1976.0,Male,3.0,Caucasian,18.0,8.0,10.0,7.0,1.0,
2052,Ramstad,Jim,110.0,2007.0,MN,House of Representative,3.0,Republican,1990.0,Male,8.0,Caucasian,15.0,0.0,1.0,1.0,1.0,
2053,Rangel,Charles,110.0,2007.0,NY,House of Representative,15.0,Democrat,1970.0,Male,29.0,African-American,61.0,19.0,37.0,33.0,14.0,
2054,Reed,Jack,110.0,2007.0,RI,Senate,State-Wide,Democrat,1996.0,Male,2.0,Caucasian,29.0,5.0,5.0,0.0,0.0,
2055,Regula,Ralph,110.0,2007.0,OH,House of Representative,16.0,Republican,1972.0,Male,18.0,Caucasian,3.0,1.0,1.0,1.0,0.0,
2056,Rehberg,Denny,110.0,2007.0,MT,House of Representative,1.0,Republican,2000.0,Male,1.0,Caucasian,8.0,1.0,1.0,1.0,0.0,
2057,Reichert,David,110.0,2007.0,WA,House of Representative,8.0,Republican,2004.0,Male,9.0,Caucasian,16.0,2.0,1.0,1.0,1.0,
2058,Reid,Harry,110.0,2007.0,NV,Senate,State-Wide,Democrat,1986.0,Male,3.0,Caucasian,62.0,12.0,21.0,7.0,3.0,
2059,Renzi,Rick,110.0,2007.0,AZ,House of Representative,1.0,Republican,2002.0,Male,8.0,Caucasian,6.0,0.0,1.0,1.0,0.0,
2060,Reyes,Silvestre,110.0,2007.0,TX,House of Representative,16.0,Democrat,1996.0,Male,32.0,Latino/a,19.0,7.0,7.0,5.0,1.0,
2061,Reynolds,Thomas,110.0,2007.0,NY,House of Representative,26.0,Republican,1998.0,Male,29.0,Caucasian,20.0,0.0,0.0,0.0,0.0,
2062,Richardson,Laura,110.0,2007.0,CA,House of Representative,37.0,Democrat,2007.0,Female,53.0,African-American,5.0,1.0,1.0,1.0,1.0,
2063,Roberts,Pat,110.0,2007.0,KS,Senate,State-Wide,Republican,1996.0,Male,4.0,Caucasian,20.0,1.0,2.0,2.0,0.0,
2064,Rockefeller,John,110.0,2007.0,WV,Senate,State-Wide,Democrat,1984.0,Male,3.0,Caucasian,44.0,7.0,7.0,2.0,1.0,
2065,Rodriguez,Ciro,110.0,2007.0,TX,House of Representative,23.0,Democrat,2006.0,Male,32.0,Latino/a,15.0,6.0,5.0,4.0,1.0,
2066,Rogers,Mike,110.0,2007.0,AL,House of Representative,3.0,Republican,2002.0,Male,7.0,Caucasian,5.0,0.0,0.0,0.0,0.0,
2067,Rogers,Mike,110.0,2007.0,MI,House of Representative,8.0,Republican,2000.0,Male,15.0,Caucasian,5.0,0.0,0.0,0.0,0.0,
2068,Rogers,Harold,110.0,2007.0,KY,House of Representative,5.0,Republican,1980.0,Male,6.0,Caucasian,1.0,0.0,0.0,0.0,0.0,
2069,Rohrabacher,Dana,110.0,2007.0,CA,House of Representative,46.0,Republican,1988.0,Male,53.0,Caucasian,11.0,0.0,1.0,1.0,0.0,
2070,Ros-Lehtinen,Ileana,110.0,2007.0,FL,House of Representative,18.0,Republican,1989.0,Female,25.0,Latino/a,25.0,5.0,7.0,6.0,4.0,
2071,Roskam,Peter,110.0,2007.0,IL,House of Representative,6.0,Republican,2006.0,Male,19.0,Caucasian,12.0,0.0,1.0,1.0,0.0,
2072,Ross,Mike,110.0,2007.0,AR,House of Representative,4.0,Democrat,2000.0,Male,4.0,Caucasian,20.0,2.0,2.0,2.0,2.0,
2073,Rothman,Steven,110.0,2007.0,NJ,House of Representative,9.0,Democrat,1996.0,Male,13.0,Caucasian,13.0,2.0,1.0,1.0,0.0,
2074,Roybal-Allard,Lucille,110.0,2007.0,CA,House of Representative,34.0,Democrat,1992.0,Female,53.0,Latino/a,11.0,1.0,2.0,1.0,1.0,
2075,Royce,Edward,110.0,2007.0,CA,House of Representative,40.0,Republican,1992.0,Male,53.0,Caucasian,5.0,0.0,1.0,1.0,0.0,
2076,Ruppersberger,C.,110.0,2007.0,MD,House of Representative,2.0,Democrat,2002.0,Male,8.0,Caucasian,8.0,0.0,1.0,1.0,0.0,
2077,Rush,Bobby,110.0,2007.0,IL,House of Representative,1.0,Democrat,1992.0,Male,19.0,African-American,18.0,4.0,3.0,3.0,1.0,
2078,Ryan,Tim,110.0,2007.0,OH,House of Representative,17.0,Democrat,2002.0,Male,18.0,Caucasian,7.0,0.0,0.0,0.0,0.0,
2079,Ryan,Paul,110.0,2007.0,WI,House of Representative,1.0,Republican,1998.0,Male,8.0,Caucasian,12.0,0.0,0.0,0.0,0.0,
2080,Salazar,John,110.0,2007.0,CO,House of Representative,3.0,Democrat,2004.0,Male,7.0,Latino/a,30.0,8.0,4.0,4.0,0.0,
2081,Salazar,Ken,110.0,2007.0,CO,Senate,State-Wide,Democrat,2004.0,Male,7.0,Latino/a,61.0,12.0,6.0,1.0,1.0,
2082,Sali,Bill,110.0,2007.0,ID,House of Representative,1.0,Republican,2006.0,Male,2.0,Caucasian,8.0,0.0,0.0,0.0,0.0,
2083,Sanchez,Linda,110.0,2007.0,CA,House of Representative,39.0,Democrat,2002.0,Female,53.0,Latino/a,18.0,6.0,6.0,4.0,0.0,
2084,Sanchez,Loretta,110.0,2007.0,CA,House of Representative,47.0,Democrat,1996.0,Female,53.0,Latino/a,11.0,1.0,1.0,1.0,0.0,
2085,Sanders,Bernard,110.0,2007.0,VT,Senate,State-Wide,Independent,2006.0,Male,1.0,Caucasian,25.0,0.0,1.0,0.0,0.0,
2086,Sarbanes,John,110.0,2007.0,MD,House of Representative,3.0,Democrat,2006.0,Male,8.0,Caucasian,13.0,4.0,5.0,5.0,1.0,
2087,Saxton,Jim,110.0,2007.0,NJ,House of Representative,3.0,Republican,1984.0,Male,13.0,Caucasian,16.0,4.0,3.0,3.0,1.0,
2088,Scalise,Steve,110.0,2007.0,LA,House of Representative,1.0,Republican,2008.0,Male,7.0,Caucasian,3.0,0.0,0.0,0.0,0.0,
2089,Schakowsky,Janice,110.0,2007.0,IL,House of Representative,9.0,Democrat,1998.0,Female,19.0,Caucasian,24.0,4.0,3.0,3.0,1.0,
2090,Schiff,Adam,110.0,2007.0,CA,House of Representative,29.0,Democrat,2000.0,Male,53.0,Caucasian,17.0,3.0,3.0,3.0,1.0,
2091,Schmidt,Jean,110.0,2007.0,OH,House of Representative,2.0,Republican,2005.0,Female,18.0,Caucasian,8.0,0.0,2.0,2.0,2.0,
2092,Schumer,Charles,110.0,2007.0,NY,Senate,State-Wide,Democrat,1998.0,Male,29.0,Caucasian,105.0,8.0,8.0,6.0,6.0,
2093,Schwartz,Allyson,110.0,2007.0,PA,House of Representative,13.0,Democrat,2004.0,Female,19.0,Caucasian,16.0,0.0,0.0,0.0,0.0,
2094,Scott,Robert,110.0,2007.0,VA,House of Representative,3.0,Democrat,1992.0,Male,11.0,"African-American, Asian-American",34.0,8.0,6.0,6.0,1.0,
2095,Scott,David,110.0,2007.0,GA,House of Representative,13.0,Democrat,2002.0,Male,13.0,African-American,5.0,3.0,4.0,4.0,2.0,
2096,Sensenbrenner,F.,110.0,2007.0,WI,House of Representative,5.0,Republican,1978.0,Male,8.0,Caucasian,9.0,2.0,1.0,1.0,0.0,
2097,Serrano,Jose,110.0,2007.0,NY,House of Representative,16.0,Democrat,1990.0,Male,29.0,Latino/a,19.0,3.0,3.0,1.0,0.0,
2098,Sessions,Pete,110.0,2007.0,TX,House of Representative,32.0,Republican,1996.0,Male,32.0,Caucasian,11.0,0.0,1.0,1.0,1.0,
2099,Sessions,Jeff,110.0,2007.0,AL,Senate,State-Wide,Republican,1996.0,Male,7.0,Caucasian,20.0,6.0,5.0,3.0,1.0,
2100,Sestak,Joe,110.0,2007.0,PA,House of Representative,7.0,Democrat,2006.0,Male,19.0,Caucasian,20.0,3.0,3.0,3.0,1.0,
2101,Shadegg,John,110.0,2007.0,AZ,House of Representative,3.0,Republican,1994.0,Male,8.0,Caucasian,19.0,0.0,0.0,0.0,0.0,
2102,Shays,Christopher,110.0,2007.0,CT,House of Representative,4.0,Republican,1987.0,Male,5.0,Caucasian,20.0,1.0,0.0,0.0,0.0,
2103,Shea-Porter,Carol,110.0,2007.0,NH,House of Representative,1.0,Democrat,2006.0,Female,2.0,Caucasian,19.0,1.0,0.0,0.0,0.0,
2104,Shelby,Richard,110.0,2007.0,AL,Senate,State-Wide,Republican,1986.0,Male,7.0,Caucasian,1.0,0.0,0.0,0.0,0.0,
2105,Sherman,Brad,110.0,2007.0,CA,House of Representative,27.0,Democrat,1996.0,Male,53.0,Caucasian,14.0,2.0,3.0,3.0,0.0,
2106,Shimkus,John,110.0,2007.0,IL,House of Representative,19.0,Republican,1996.0,Male,19.0,Caucasian,1.0,0.0,0.0,0.0,0.0,
2107,Shuler,Heath,110.0,2007.0,NC,House of Representative,11.0,Democrat,2006.0,Male,13.0,Caucasian,11.0,2.0,3.0,2.0,1.0,
2108,Shuster,Bill,110.0,2007.0,PA,House of Representative,9.0,Republican,2001.0,Male,19.0,Caucasian,7.0,0.0,0.0,0.0,0.0,
2109,Simpson,Michael,110.0,2007.0,ID,House of Representative,2.0,Republican,1998.0,Male,2.0,Caucasian,14.0,1.0,3.0,3.0,1.0,
2110,Sires,Albio,110.0,2007.0,NJ,House of Representative,13.0,Democrat,2006.0,Male,13.0,Latino/a,11.0,8.0,6.0,5.0,2.0,
2111,Skelton,Ike,110.0,2007.0,MO,House of Representative,4.0,Democrat,1976.0,Male,9.0,Caucasian,11.0,6.0,7.0,7.0,3.0,
2112,Slaughter,Louise,110.0,2007.0,NY,House of Representative,28.0,Democrat,1986.0,Female,29.0,Caucasian,17.0,3.0,2.0,1.0,1.0,
2113,Smith,Adam,110.0,2007.0,WA,House of Representative,9.0,Democrat,1996.0,Male,9.0,Caucasian,9.0,1.0,1.0,1.0,0.0,
2114,Smith,Lamar,110.0,2007.0,TX,House of Representative,21.0,Republican,1986.0,Male,32.0,Caucasian,11.0,1.0,2.0,2.0,0.0,
2115,Smith,Christopher,110.0,2007.0,NJ,House of Representative,4.0,Republican,1980.0,Male,13.0,Caucasian,25.0,5.0,5.0,3.0,0.0,
2116,Smith,Adrian,110.0,2007.0,NE,House of Representative,3.0,Republican,2006.0,Male,3.0,Caucasian,5.0,0.0,0.0,0.0,0.0,
2117,Smith,Gordon,110.0,2007.0,OR,Senate,State-Wide,Republican,1996.0,Male,5.0,Caucasian,69.0,13.0,10.0,2.0,2.0,
2118,Snowe,Olympia,110.0,2007.0,ME,Senate,State-Wide,Republican,1994.0,Female,2.0,Caucasian,86.0,5.0,5.0,1.0,1.0,
2119,Snyder,Vic,110.0,2007.0,AR,House of Representative,2.0,Democrat,1996.0,Male,4.0,Caucasian,6.0,0.0,1.0,1.0,1.0,
2120,Solis,Hilda,110.0,2007.0,CA,House of Representative,32.0,Democrat,2000.0,Female,53.0,Latino/a,26.0,8.0,4.0,3.0,2.0,
2121,Souder,Mark,110.0,2007.0,IN,House of Representative,3.0,Republican,1994.0,Male,9.0,Caucasian,4.0,1.0,1.0,1.0,1.0,
2122,Space,Zachary,110.0,2007.0,OH,House of Representative,18.0,Democrat,2006.0,Male,18.0,Caucasian,28.0,5.0,4.0,4.0,1.0,
2123,Specter,Arlen,110.0,2007.0,PA,Senate,State-Wide,Republican,1980.0,Male,19.0,Caucasian,37.0,5.0,3.0,0.0,0.0,
2124,Speier,Jackie,110.0,2007.0,CA,House of Representative,12.0,Democrat,2008.0,Female,53.0,Caucasian,2.0,0.0,1.0,1.0,1.0,
2125,Spratt,John,110.0,2007.0,SC,House of Representative,5.0,Democrat,1982.0,Male,6.0,Caucasian,17.0,2.0,1.0,1.0,1.0,
2126,Stabenow,Debbie,110.0,2007.0,MI,Senate,State-Wide,Democrat,2000.0,Female,15.0,Caucasian,27.0,1.0,1.0,1.0,1.0,
2127,Stark,Fortney,110.0,2007.0,CA,House of Representative,13.0,Democrat,1972.0,Male,53.0,Caucasian,20.0,1.0,2.0,2.0,1.0,
2128,Stearns,Cliff,110.0,2007.0,FL,House of Representative,6.0,Republican,1988.0,Male,25.0,Caucasian,14.0,2.0,1.0,1.0,0.0,
2129,Stevens,Ted,110.0,2007.0,AK,Senate,State-Wide,Republican,1968.0,Male,1.0,Caucasian,25.0,7.0,5.0,1.0,0.0,
2130,Stupak,Bart,110.0,2007.0,MI,House of Representative,1.0,Democrat,1992.0,Male,15.0,Caucasian,50.0,6.0,9.0,6.0,3.0,
2131,Sullivan,John,110.0,2007.0,OK,House of Representative,1.0,Republican,2002.0,Male,5.0,Caucasian,12.0,0.0,1.0,1.0,1.0,
2132,Sununu,John,110.0,2007.0,NH,Senate,State-Wide,Republican,2002.0,Male,2.0,Caucasian,12.0,2.0,2.0,2.0,2.0,
2133,Sutton,Betty,110.0,2007.0,OH,House of Representative,13.0,Democrat,2006.0,Female,18.0,Caucasian,8.0,0.0,1.0,1.0,0.0,
2134,Tancredo,Thomas,110.0,2007.0,CO,House of Representative,6.0,Republican,1998.0,Male,7.0,Caucasian,19.0,0.0,0.0,0.0,0.0,
2135,Tanner,John,110.0,2007.0,TN,House of Representative,8.0,Democrat,1988.0,Male,9.0,Caucasian,11.0,2.0,2.0,2.0,0.0,
2136,Tauscher,Ellen,110.0,2007.0,CA,House of Representative,10.0,Democrat,1996.0,Female,53.0,Caucasian,60.0,2.0,1.0,1.0,0.0,
2137,Taylor,Gene,110.0,2007.0,MS,House of Representative,4.0,Democrat,1989.0,Male,4.0,Caucasian,3.0,0.0,0.0,0.0,0.0,
2138,Terry,Lee,110.0,2007.0,NE,House of Representative,2.0,Republican,1998.0,Male,3.0,Caucasian,31.0,0.0,0.0,0.0,0.0,
2139,Tester,Jon,110.0,2007.0,MT,Senate,State-Wide,Democrat,2006.0,Male,1.0,Caucasian,17.0,5.0,3.0,0.0,0.0,
2140,Thomas,Craig,110.0,2007.0,WY,Senate,State-Wide,Republican,1994.0,Male,1.0,Caucasian,10.0,4.0,4.0,1.0,1.0,
2141,Thompson,Mike,110.0,2007.0,CA,House of Representative,1.0,Democrat,1998.0,Male,53.0,Caucasian,24.0,5.0,3.0,3.0,1.0,
2142,Thompson,Bennie,110.0,2007.0,MS,House of Representative,2.0,Democrat,1993.0,Male,4.0,African-American,23.0,7.0,8.0,7.0,2.0,
