id,Name,ID,ALIGN,EYE,HAIR,ALIVE,APPEARANCES,FIRST APPEARANCE,YEAR
2520,Threllian (New Earth),Public Identity,Good Characters,Unknown or None,Unknown or None,Deceased Characters,9.0,"1993, August",1993.0
2521,Diade (New Earth),Public Identity,Good Characters,Unknown or None,Unknown or None,Living Characters,9.0,"1989, June",1989.0
2522,Flodo Span (New Earth),Public Identity,Good Characters,Unknown or None,Unknown or None,Deceased Characters,9.0,"1987, October",1987.0
2523,Calculha (New Earth),Public Identity,Good Characters,Unknown or None,Unknown or None,Deceased Characters,9.0,"1986, February",1986.0
2524,Sonny Sumo (New Earth),Public Identity,Good Characters,Unknown or None,Unknown or None,Living Characters,9.0,"1971, September",1971.0
2525,Dexter Fairfax (New Earth),Public Identity,Good Characters,Unknown or None,White Hair,Living Characters,9.0,"1989, January",1989.0
2526,Bethany Lee (New Earth),Public Identity,Neutral Characters,Unknown or None,Black Hair,Living Characters,9.0,"1999, April",1999.0
2527,Joseph Mason (New Earth),Public Identity,Neutral Characters,Unknown or None,Black Hair,Living Characters,9.0,"1990, February",1990.0
2528,Marla Elliot (New Earth),Public Identity,Neutral Characters,Unknown or None,Red Hair,Living Characters,9.0,"2008, September",2008.0
2529,Philip Curry (New Earth),Public Identity,Unknown or None,Unknown or None,Unknown or None,Living Characters,9.0,"2006, May",2006.0
2530,Nathaniel Kent (New Earth),Public Identity,Unknown or None,Unknown or None,Unknown or None,Living Characters,9.0,"1997, August",1997.0
2531,Yoof (New Earth),Public Identity,Unknown or None,Unknown or None,Unknown or None,Living Characters,9.0,"1997, September",1997.0
2532,Dardan (New Earth),Public Identity,Unknown or None,Unknown or None,Unknown or None,Living Characters,9.0,"1995, August",1995.0
2533,"Atlas, Titans of Myth (New Earth)",Public Identity,Unknown or None,Unknown or None,Unknown or None,Living Characters,9.0,"1944, May",1944.0
2534,Daphne Dean (New Earth),Public Identity,Unknown or None,Unknown or None,Red Hair,Living Characters,9.0,"1962, February",1962.0
2535,Taro Raiden (New Earth),Secret Identity,Bad Characters,Unknown or None,Black Hair,Deceased Characters,9.0,"1986, November",1986.0
2536,Bud and Lou the Hyenas (New Earth),Secret Identity,Bad Characters,Unknown or None,Brown Hair,Deceased Characters,9.0,"2001, March",2001.0
2537,Iron Cross (New Earth),Secret Identity,Bad Characters,Unknown or None,Brown Hair,Deceased Characters,9.0,"1994, March",1994.0
2538,Kritter (New Earth),Secret Identity,Bad Characters,Unknown or None,Brown Hair,Living Characters,9.0,"1985, August",1985.0
2539,Celia Kazantkakis (New Earth),Secret Identity,Bad Characters,Unknown or None,Grey Hair,Living Characters,9.0,"2002, December",2002.0
2540,Detonator (New Earth),Secret Identity,Bad Characters,Unknown or None,Unknown or None,Living Characters,9.0,"2008, January",2008.0
2541,Freeway (New Earth),Secret Identity,Bad Characters,Unknown or None,Unknown or None,Living Characters,9.0,"2002, November",2002.0
2542,Peter Mortimer (New Earth),Secret Identity,Bad Characters,Unknown or None,Unknown or None,Deceased Characters,9.0,"1968, February",1968.0
2543,Gunther Hardwicke (New Earth),Secret Identity,Bad Characters,Unknown or None,Unknown or None,Living Characters,9.0,"1958, March",1958.0
2544,Warren Lawford (New Earth),Secret Identity,Bad Characters,Unknown or None,Unknown or None,Living Characters,9.0,"1958, March",1958.0
2545,Ulla Paske (New Earth),Secret Identity,Good Characters,Unknown or None,Blond Hair,Living Characters,9.0,"1982, June",1982.0
2546,Sindella Zatara (New Earth),Secret Identity,Good Characters,Unknown or None,Blond Hair,Deceased Characters,9.0,"1979, February",1979.0
2547,Colin Wilkes (New Earth),Secret Identity,Good Characters,Unknown or None,Red Hair,Living Characters,9.0,"2008, October",2008.0
2548,Matthew Shrieve (New Earth),Secret Identity,Good Characters,Unknown or None,Red Hair,Living Characters,9.0,"1980, November",1980.0
2549,Comet (New Earth),Secret Identity,Good Characters,Unknown or None,Unknown or None,Living Characters,9.0,"2010, March",2010.0
2550,Crimson Fox III (New Earth),Secret Identity,Good Characters,Unknown or None,Unknown or None,Living Characters,9.0,"2006, June",2006.0
2551,Manticore IV (New Earth),Secret Identity,Good Characters,Unknown or None,Unknown or None,Living Characters,9.0,"2006, May",2006.0
2552,Sandstorm (New Earth),Secret Identity,Good Characters,Unknown or None,Unknown or None,Deceased Characters,9.0,"2006, September",2006.0
2553,Amnon Silverstein (Dakotaverse),Secret Identity,Good Characters,Unknown or None,Unknown or None,Living Characters,9.0,"1994, January",1994.0
2554,Stuart Mosely (New Earth),Secret Identity,Good Characters,Unknown or None,Unknown or None,Living Characters,9.0,"1992, September",1992.0
2555,Damper (New Earth),Secret Identity,Unknown or None,Unknown or None,Brown Hair,Living Characters,9.0,"2006, June",2006.0
2556,Edward Bentama (New Earth),Unknown,Bad Characters,Unknown or None,Black Hair,Deceased Characters,9.0,"1986, January",1986.0
2557,Xavier Dylan (New Earth),Unknown,Bad Characters,Unknown or None,Blond Hair,Deceased Characters,9.0,"2002, May",2002.0
2558,Grace Kasaba (New Earth),Unknown,Bad Characters,Unknown or None,Brown Hair,Living Characters,9.0,"1988, May",1988.0
2559,Wyld (New Earth),Unknown,Bad Characters,Unknown or None,Unknown or None,Living Characters,9.0,"2009, November",2009.0
2560,Ausiin Snow (New Earth),Unknown,Bad Characters,Unknown or None,Unknown or None,Living Characters,9.0,"2008, February",2008.0
2561,Devil Dog (New Earth),Unknown,Bad Characters,Unknown or None,Unknown or None,Living Characters,9.0,"2008, September",2008.0
2562,Kretch (New Earth),Unknown,Bad Characters,Unknown or None,Unknown or None,Living Characters,9.0,"2007, August",2007.0
2563,Angon (New Earth),Unknown,Bad Characters,Unknown or None,Unknown or None,Deceased Characters,9.0,"1993, August",1993.0
2564,Gemir (New Earth),Unknown,Bad Characters,Unknown or None,Unknown or None,Deceased Characters,9.0,"1993, August",1993.0
2565,Glonth (New Earth),Unknown,Bad Characters,Unknown or None,Unknown or None,Deceased Characters,9.0,"1993, August",1993.0
2566,Pritor (New Earth),Unknown,Bad Characters,Unknown or None,Unknown or None,Deceased Characters,9.0,"1993, August",1993.0
2567,Buck Samson (New Earth),Unknown,Bad Characters,Unknown or None,Unknown or None,Living Characters,9.0,"1992, July",1992.0
2568,Clawster (New Earth),Unknown,Bad Characters,Unknown or None,Unknown or None,Living Characters,9.0,"1992, November",1992.0
2569,Armand Lydecker (New Earth),Unknown,Bad Characters,Unknown or None,Unknown or None,Living Characters,9.0,"1958, March",1958.0
2570,Ilsa von Hammer (New Earth),Unknown,Good Characters,Unknown or None,Blond Hair,Living Characters,9.0,"2005, July",2005.0
2571,Catholic Girl (Dakotaverse),Unknown,Good Characters,Unknown or None,Blond Hair,Living Characters,9.0,"1994, June",1994.0
2572,Michael Costner (New Earth),Unknown,Good Characters,Unknown or None,Brown Hair,Living Characters,9.0,"2006, September",2006.0
2573,Ronald Probson (New Earth),Unknown,Good Characters,Unknown or None,Brown Hair,Deceased Characters,9.0,"2003, February",2003.0
2574,Dervish (New Earth),Unknown,Good Characters,Unknown or None,Brown Hair,Living Characters,9.0,"1994, March",1994.0
2575,Steve Claiborne (New Earth),Unknown,Good Characters,Unknown or None,Brown Hair,Living Characters,9.0,"1988, September",1988.0
2576,James Carter (New Earth),Unknown,Good Characters,Unknown or None,Brown Hair,Living Characters,9.0,"1977, September",1977.0
2577,Genevieve Campbell (New Earth),Unknown,Good Characters,Unknown or None,Unknown or None,Living Characters,9.0,"2008, September",2008.0
2578,Tanakata Z (New Earth),Unknown,Good Characters,Unknown or None,Unknown or None,Deceased Characters,9.0,"2006, September",2006.0
2579,Nathan Patton (New Earth),Unknown,Good Characters,Unknown or None,Unknown or None,Deceased Characters,9.0,"2003, February",2003.0
2580,Gaius (New Earth),Unknown,Good Characters,Unknown or None,Unknown or None,Living Characters,9.0,"1993, August",1993.0
2581,Duke Donald (New Earth),Unknown,Good Characters,Unknown or None,Unknown or None,Living Characters,9.0,"1992, October",1992.0
2582,Moyshe Nakhman (New Earth),Unknown,Good Characters,Unknown or None,Unknown or None,Living Characters,9.0,"1990, September",1990.0
2583,Brokk (New Earth),Unknown,Good Characters,Unknown or None,Unknown or None,Living Characters,9.0,"1981, May",1981.0
2584,Aton (New Earth),Unknown,Good Characters,Unknown or None,Unknown or None,Living Characters,9.0,"1978, May",1978.0
2585,Amos Monroe (New Earth),Unknown,Good Characters,Unknown or None,White Hair,Living Characters,9.0,"1989, January",1989.0
2586,Harry S. Truman (New Earth),Unknown,Good Characters,Unknown or None,White Hair,Living Characters,9.0,1984.0,1984.0
2587,Victor Lanza (New Earth),Unknown,Good Characters,Unknown or None,White Hair,Deceased Characters,9.0,"1971, March",1971.0
2588,William Gunn (New Earth),Unknown,Good Characters,Unknown or None,White Hair,Deceased Characters,9.0,"1941, December",1941.0
2589,Arin Sur (New Earth),Unknown,Neutral Characters,Unknown or None,Black Hair,Living Characters,9.0,"2009, October",2009.0
2590,Jeremy Jape (New Earth),Unknown,Neutral Characters,Unknown or None,Blond Hair,Living Characters,9.0,"2008, July",2008.0
2591,Mack Harlin (New Earth),Unknown,Neutral Characters,Unknown or None,Unknown or None,Living Characters,9.0,"1995, January",1995.0
2592,Duma (New Earth),Unknown,Unknown or None,Unknown or None,Unknown or None,Living Characters,9.0,"1991, March",1991.0
2593,Remiel (New Earth),Unknown,Unknown or None,Unknown or None,Unknown or None,Living Characters,9.0,"1991, March",1991.0
2594,Arizona (New Earth),Unknown,Unknown or None,Unknown or None,Blond Hair,Living Characters,9.0,"1991, March",1991.0
2595,Boleslaw Uminski (New Earth),Unknown,Unknown or None,Unknown or None,Blond Hair,Living Characters,9.0,"1987, December",1987.0
2596,Rachel Dodds (New Earth),Unknown,Unknown or None,Unknown or None,Brown Hair,Living Characters,9.0,"2007, December",2007.0
2597,Lady Amethyst (New Earth),Public Identity,Good Characters,Violet Eyes,Blond Hair,Deceased Characters,9.0,"1983, May",1983.0
2598,Trinity (Virus) (New Earth),Public Identity,Bad Characters,White Eyes,Unknown or None,Living Characters,9.0,1990.0,1990.0
2599,Sun King (New Earth),Secret Identity,Bad Characters,White Eyes,Unknown or None,Deceased Characters,9.0,"2006, August",2006.0
2600,Micah Flint (New Earth),Secret Identity,Bad Characters,White Eyes,Unknown or None,Living Characters,9.0,"1997, March",1997.0
2601,Red Volcano (New Earth),Secret Identity,Bad Characters,Yellow Eyes,Unknown or None,Living Characters,9.0,"2008, June",2008.0
2602,Hiro Okamura (New Earth),Public Identity,Good Characters,Black Eyes,Black Hair,Living Characters,8.0,"2002, February",2002.0
2603,Starka\u00f0r (New Earth),Public Identity,Good Characters,Black Eyes,Unknown or None,Deceased Characters,8.0,"1999, September",1999.0
2604,Bizarro Lois Lane (New Earth),Public Identity,Neutral Characters,Black Eyes,Black Hair,Living Characters,8.0,"2007, October",2007.0
2605,Pyra (New Earth),Public Identity,Unknown or None,Black Eyes,Black Hair,Living Characters,8.0,"1996, September",1996.0
2606,Henry Cannon (New Earth),Secret Identity,Bad Characters,Black Eyes,Black Hair,Living Characters,8.0,"1984, April",1984.0
2607,Siren (New Earth),Secret Identity,Bad Characters,Black Eyes,Blond Hair,Living Characters,8.0,"1999, July",1999.0
2608,Rama Chandra (New Earth),Secret Identity,Good Characters,Black Eyes,Black Hair,Living Characters,8.0,"1999, September",1999.0
2609,Procanon Kaa (New Earth),Secret Identity,Good Characters,Black Eyes,Unknown or None,Living Characters,8.0,"1988, May",1988.0
2610,Wandjina (New Earth),Secret Identity,Good Characters,Black Eyes,Unknown or None,Deceased Characters,8.0,"1971, February",1971.0
2611,Oom (New Earth),Secret Identity,Unknown or None,Black Eyes,Grey Hair,Living Characters,8.0,"1940, December",1940.0
2612,Ahk-Ton (New Earth),Unknown,Bad Characters,Black Eyes,Unknown or None,Living Characters,8.0,"1965, January",1965.0
2613,Vanguard (New Earth),Unknown,Good Characters,Black Eyes,White Hair,Living Characters,8.0,"2005, May",2005.0
2614,Henry Aquista (New Earth),Public Identity,Bad Characters,Blue Eyes,Black Hair,Deceased Characters,8.0,"2004, April",2004.0
2615,Ashiya (New Earth),Public Identity,Bad Characters,Blue Eyes,Black Hair,Living Characters,8.0,"1978, January",1978.0
2616,Steven Hazard (New Earth),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Deceased Characters,8.0,"2007, October",2007.0
2617,Sally Stone (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,8.0,"1988, June",1988.0
2618,Mandra Darrow (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,8.0,"1994, April",1994.0
2619,Timothy Trench (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Deceased Characters,8.0,"1969, February",1969.0
2620,Daniel Dennis (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,8.0,"1952, February",1952.0
2621,Austin Bowie (New Earth),Public Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,8.0,"1989, August",1989.0
2622,Phillip Hunter (New Earth),Public Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,8.0,"1966, April",1966.0
2623,Myron Mazursky (New Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Living Characters,8.0,"1988, May",1988.0
2624,Lita Brand (New Earth),Public Identity,Neutral Characters,Blue Eyes,Black Hair,Living Characters,8.0,"1968, April",1968.0
2625,Beautia Sivana (New Earth),Public Identity,Neutral Characters,Blue Eyes,Blond Hair,Living Characters,8.0,"1987, April",1987.0
2626,Tsaritsa (New Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Living Characters,8.0,"2000, November",2000.0
2627,Ice Man (New Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Deceased Characters,8.0,"1991, October",1991.0
2628,Abner Krill (New Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Deceased Characters,8.0,"1962, February",1962.0
2629,Silver Monkey (New Earth),Secret Identity,Bad Characters,Blue Eyes,Brown Hair,Deceased Characters,8.0,"1995, May",1995.0
2630,John Monroe (New Earth),Secret Identity,Bad Characters,Blue Eyes,Brown Hair,Deceased Characters,8.0,"1985, August",1985.0
2631,Strega II (New Earth),Secret Identity,Bad Characters,Blue Eyes,Red Hair,Deceased Characters,8.0,"2006, July",2006.0
2632,Armando Ramone (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,8.0,"1984, December",1984.0
2633,Clay Stoner (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,8.0,"1978, September",1978.0
2634,Barbie (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,8.0,"1989, December",1989.0
2635,Carter Channel (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,8.0,1993.0,1993.0
2636,Bizarro II (New Earth),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Deceased Characters,8.0,"1994, March",1994.0
2637,Emmylou Hartley (Earth-One),Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Living Characters,8.0,"1981, July",1981.0
2638,Rogga (New Earth),Secret Identity,Unknown or None,Blue Eyes,Unknown or None,Deceased Characters,8.0,"2007, January",2007.0
2639,Rio Ferdinand (New Earth),Unknown,Bad Characters,Blue Eyes,Black Hair,Living Characters,8.0,"2006, October",2006.0
2640,Stephen Forrest Lee (New Earth),Unknown,Bad Characters,Blue Eyes,Unknown or None,Deceased Characters,8.0,"1988, July",1988.0
2641,A.J. (New Earth),Unknown,Good Characters,Blue Eyes,Blond Hair,Living Characters,8.0,"1995, August",1995.0
2642,Sylvia Kandrey (New Earth),Unknown,Good Characters,Blue Eyes,Red Hair,Living Characters,8.0,"1988, November",1988.0
2643,Marnie Herrs (New Earth),Unknown,Neutral Characters,Blue Eyes,Blond Hair,Living Characters,8.0,"1987, May",1987.0
2644,Wesley Sloan (New Earth),Unknown,Unknown or None,Blue Eyes,Blond Hair,Deceased Characters,8.0,"2001, December",2001.0
2645,Connie Noleski (New Earth),Unknown,Unknown or None,Blue Eyes,Blond Hair,Living Characters,8.0,1987.0,1987.0
2646,Linton Midnite (New Earth),Public Identity,Bad Characters,Brown Eyes,Unknown or None,Living Characters,8.0,"1988, January",1988.0
2647,Hoppy Greene (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,8.0,"1993, April",1993.0
2648,Rani (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,8.0,"2010, July",2010.0
2649,Carlotta Rivera (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,8.0,"1989, January",1989.0
2650,Mortimer Gunt (New Earth),Public Identity,Good Characters,Brown Eyes,Unknown or None,Living Characters,8.0,"1995, March",1995.0
2651,Shango (New Earth),Public Identity,Neutral Characters,Brown Eyes,Black Hair,Living Characters,8.0,"1990, March",1990.0
2652,Agni (New Earth),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Living Characters,8.0,"1988, September",1988.0
2653,Anica Balcescu (New Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Living Characters,8.0,"2008, September",2008.0
2654,Niang Guan Jun (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,8.0,"2006, June",2006.0
2655,Lucian Crawley (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,8.0,"1969, March",1969.0
2656,Michael Morice (New Earth),Secret Identity,Good Characters,Brown Eyes,White Hair,Living Characters,8.0,1989.0,1989.0
2657,Rama Khan (New Earth),Secret Identity,Neutral Characters,Brown Eyes,Black Hair,Deceased Characters,8.0,"2002, March",2002.0
2658,Savitar Bandu (New Earth),Secret Identity,Neutral Characters,Brown Eyes,Black Hair,Living Characters,8.0,"1995, February",1995.0
2659,Dodger (New Earth),Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Living Characters,8.0,"2008, June",2008.0
2660,Daniel Tran (New Earth),Unknown,Bad Characters,Brown Eyes,Black Hair,Deceased Characters,8.0,"2002, December",2002.0
2661,Trang Jones (New Earth),Unknown,Good Characters,Brown Eyes,Black Hair,Living Characters,8.0,"2008, July",2008.0
2662,Gary DeVries (New Earth),Unknown,Good Characters,Brown Eyes,Black Hair,Living Characters,8.0,"1989, February",1989.0
2663,John Mercado (New Earth),Unknown,Good Characters,Brown Eyes,Brown Hair,Living Characters,8.0,"2004, February",2004.0
2664,Anaya (New Earth),Unknown,Good Characters,Brown Eyes,Brown Hair,Living Characters,8.0,"2001, May",2001.0
2665,Myra Allen (New Earth),Unknown,Good Characters,Brown Eyes,Brown Hair,Deceased Characters,8.0,"1991, August",1991.0
2666,George Flannery (New Earth),Unknown,Good Characters,Brown Eyes,Brown Hair,Living Characters,8.0,"1988, August",1988.0
2667,McCaffrey (New Earth),Unknown,Good Characters,Brown Eyes,White Hair,Deceased Characters,8.0,"2003, March",2003.0
2668,Joshua Hamman (New Earth),Unknown,Neutral Characters,Brown Eyes,Brown Hair,Living Characters,8.0,"1999, August",1999.0
2669,Misa (New Earth),Public Identity,Bad Characters,Green Eyes,Blond Hair,Living Characters,8.0,"1996, September",1996.0
2670,Ugg-I (New Earth),Public Identity,Bad Characters,Green Eyes,Unknown or None,Deceased Characters,8.0,"2008, July",2008.0
2671,Kancer (New Earth),Public Identity,Bad Characters,Green Eyes,Unknown or None,Living Characters,8.0,"2001, May",2001.0
2672,Margaret Mahoney (New Earth),Public Identity,Good Characters,Green Eyes,Red Hair,Deceased Characters,8.0,"2010, August",2010.0
2673,Amanda Turner (New Earth),Public Identity,Good Characters,Green Eyes,Red Hair,Living Characters,8.0,"2006, September",2006.0
2674,Triton (New Earth),Public Identity,Neutral Characters,Green Eyes,White Hair,Living Characters,8.0,"1995, July",1995.0
2675,Lionel Luthor (New Earth),Public Identity,Unknown or None,Green Eyes,Brown Hair,Living Characters,8.0,"2007, September",2007.0
2676,Doctor Cyclops (New Earth),Secret Identity,Bad Characters,Green Eyes,Grey Hair,Living Characters,8.0,"1967, January",1967.0
2677,Marschall Saber (New Earth),Secret Identity,Bad Characters,Green Eyes,Red Hair,Living Characters,8.0,"1984, April",1984.0
2678,Kitty Kumbata (New Earth),Unknown,Bad Characters,Green Eyes,Black Hair,Living Characters,8.0,"2004, July",2004.0
2679,Lani Gilbert (New Earth),Unknown,Bad Characters,Green Eyes,Red Hair,Living Characters,8.0,"1982, September",1982.0
2680,Lacey Van Horn (New Earth),Unknown,Neutral Characters,Green Eyes,Red Hair,Living Characters,8.0,"1994, May",1994.0
2681,Duel Eknham (New Earth),Public Identity,Bad Characters,Grey Eyes,Black Hair,Deceased Characters,8.0,"2008, June",2008.0
2682,Kho Kharhi (New Earth),Public Identity,Good Characters,Grey Eyes,Black Hair,Living Characters,8.0,"2008, May",2008.0
2683,RRU-9-2 (New Earth),Public Identity,Good Characters,Photocellular Eyes,Unknown or None,Living Characters,8.0,"1993, August",1993.0
2684,Clifford Steele Doppelganger (New Earth),Secret Identity,Good Characters,Photocellular Eyes,Unknown or None,Living Characters,8.0,"2001, December",2001.0
2685,Thrust (New Earth),Unknown,Neutral Characters,Pink Eyes,Blond Hair,Living Characters,8.0,1992.0,1992.0
2686,Paul Sloan (New Earth),Public Identity,Bad Characters,Red Eyes,Unknown or None,Living Characters,8.0,"1987, November",1987.0
2687,Construct (New Earth),Public Identity,Bad Characters,Red Eyes,Unknown or None,Living Characters,8.0,"1977, May",1977.0
2688,William Kavanagh (New Earth),Secret Identity,Bad Characters,Red Eyes,White Hair,Deceased Characters,8.0,"1993, November",1993.0
2689,Sparta (New Earth),Secret Identity,Neutral Characters,Red Eyes,Orange Hair,Deceased Characters,8.0,"1989, January",1989.0
2690,Herbert Hynde (New Earth),Unknown,Bad Characters,Red Eyes,Grey Hair,Living Characters,8.0,"1983, November",1983.0
2691,Narkran (New Earth),Public Identity,Bad Characters,Unknown or None,Black Hair,Living Characters,8.0,"1968, October",1968.0
2692,Toyboy (New Earth),Public Identity,Bad Characters,Unknown or None,Blond Hair,Living Characters,8.0,"2006, May",2006.0
2693,Alexandra Kosov (New Earth),Public Identity,Bad Characters,Unknown or None,Blond Hair,Living Characters,8.0,"2004, October",2004.0
2694,Mary Frances Cassidy (New Earth),Public Identity,Bad Characters,Unknown or None,Brown Hair,Living Characters,8.0,"1986, March",1986.0
2695,Peter Pauling (New Earth),Public Identity,Bad Characters,Unknown or None,Brown Hair,Deceased Characters,8.0,"1981, November",1981.0
2696,"Pasquale Galante, Jr. (New Earth)",Public Identity,Bad Characters,Unknown or None,Silver Hair,Deceased Characters,8.0,"2000, June",2000.0
2697,Khaji Kai (Prime Earth),Public Identity,Bad Characters,Unknown or None,Unknown or None,Living Characters,8.0,"2011, November",2011.0
2698,Titan II (New Earth),Public Identity,Bad Characters,Unknown or None,Unknown or None,Living Characters,8.0,"1998, December",1998.0
2699,Drrt (New Earth),Public Identity,Bad Characters,Unknown or None,Unknown or None,Living Characters,8.0,"1996, September",1996.0
2700,Red Death (New Earth),Public Identity,Bad Characters,Unknown or None,Unknown or None,Living Characters,8.0,"1996, September",1996.0
2701,Whoon (New Earth),Public Identity,Bad Characters,Unknown or None,Unknown or None,Living Characters,8.0,"1996, September",1996.0
2702,Thomas Manchester (New Earth),Public Identity,Bad Characters,Unknown or None,Unknown or None,Living Characters,8.0,"1995, June",1995.0
2703,Hatshephut II (New Earth),Public Identity,Bad Characters,Unknown or None,Unknown or None,,8.0,"1992, November",1992.0
2704,Derek Tolliver (New Earth),Public Identity,Bad Characters,Unknown or None,Unknown or None,Deceased Characters,8.0,"1987, October",1987.0
2705,Gat Benson (New Earth),Public Identity,Bad Characters,Unknown or None,Unknown or None,Deceased Characters,8.0,"1940, February",1940.0
2706,Walter Pratt (New Earth),Public Identity,Bad Characters,Unknown or None,White Hair,Deceased Characters,8.0,"2005, March",2005.0
2707,Claudius Tull (New Earth),Public Identity,Bad Characters,Unknown or None,White Hair,Deceased Characters,8.0,"1984, October",1984.0
2708,Ramon Solomano (New Earth),Public Identity,Bad Characters,Unknown or None,White Hair,Deceased Characters,8.0,"1941, December",1941.0
2709,Deborah Marlow (New Earth),Public Identity,Good Characters,Unknown or None,Black Hair,Living Characters,8.0,"2009, October",2009.0
2710,Daniel Temple (New Earth),Public Identity,Good Characters,Unknown or None,Black Hair,Living Characters,8.0,"2000, November",2000.0
2711,Chidi (New Earth),Public Identity,Good Characters,Unknown or None,Black Hair,Living Characters,8.0,"1994, November",1994.0
2712,Charles Rowland (Vertigo Universe),Public Identity,Good Characters,Unknown or None,Black Hair,Living Characters,8.0,"1991, April",1991.0
2713,Taj-Ze (New Earth),Public Identity,Good Characters,Unknown or None,Black Hair,Living Characters,8.0,"1969, February",1969.0
2714,Kuan Ti (New Earth),Public Identity,Good Characters,Unknown or None,Black Hair,Living Characters,8.0,,
2715,Henry Hayes (New Earth),Public Identity,Good Characters,Unknown or None,Blond Hair,Deceased Characters,8.0,"1989, October",1989.0
2716,Johnny Blake (New Earth),Public Identity,Good Characters,Unknown or None,Blond Hair,Living Characters,8.0,"1964, February",1964.0
2717,Helmond Kettering (New Earth),Public Identity,Good Characters,Unknown or None,Brown Hair,Living Characters,8.0,"2006, August",2006.0
2718,Henri Doucette (New Earth),Public Identity,Good Characters,Unknown or None,Brown Hair,Living Characters,8.0,"2006, June",2006.0
2719,Helen Angelico (New Earth),Public Identity,Good Characters,Unknown or None,Brown Hair,Living Characters,8.0,"2000, June",2000.0
2720,Sasha Martens (New Earth),Public Identity,Good Characters,Unknown or None,Brown Hair,Living Characters,8.0,"1997, October",1997.0
2721,Buck Wargo (New Earth),Public Identity,Good Characters,Unknown or None,Brown Hair,Living Characters,8.0,"1994, July",1994.0
2722,Vladimir Morakov (New Earth),Public Identity,Good Characters,Unknown or None,Brown Hair,Living Characters,8.0,"1989, December",1989.0
2723,Joseph Richani (New Earth),Public Identity,Good Characters,Unknown or None,Brown Hair,Living Characters,8.0,"1985, February",1985.0
2724,Yango (New Earth),Public Identity,Good Characters,Unknown or None,Brown Hair,Living Characters,8.0,"1970, October",1970.0
2725,John Kennedy (New Earth),Public Identity,Good Characters,Unknown or None,Brown Hair,Living Characters,8.0,"1961, May",1961.0
2726,Gabby the Monkey (New Earth),Public Identity,Good Characters,Unknown or None,Brown Hair,Living Characters,8.0,"1941, April",1941.0
2727,Martin Campbell (New Earth),Public Identity,Good Characters,Unknown or None,Grey Hair,Living Characters,8.0,"2006, August",2006.0
2728,Sierra (New Earth),Public Identity,Good Characters,Unknown or None,Red Hair,Living Characters,8.0,"2006, October",2006.0
2729,Scott Sawyer (New Earth),Public Identity,Good Characters,Unknown or None,Unknown or None,Living Characters,8.0,"1998, December",1998.0
2730,Red Bailey (New Earth),Public Identity,Good Characters,Unknown or None,Unknown or None,Deceased Characters,8.0,"1995, December",1995.0
2731,Gawain (New Earth),Public Identity,Good Characters,Unknown or None,Unknown or None,Living Characters,8.0,"1936, September",1936.0
2732,Richard Mission (New Earth),Public Identity,Neutral Characters,Unknown or None,Brown Hair,Living Characters,8.0,"1991, December",1991.0
2733,Richard Simpson (New Earth),Public Identity,Neutral Characters,Unknown or None,Brown Hair,Living Characters,8.0,"1988, July",1988.0
2734,George Yedziniak (New Earth),Public Identity,Unknown or None,Unknown or None,Unknown or None,Living Characters,8.0,"1989, July",1989.0
2735,Jordanna Spence (New Earth),Public Identity,Unknown or None,Unknown or None,Black Hair,Living Characters,8.0,"2009, November",2009.0
2736,Maria Amardosa (New Earth),Public Identity,Unknown or None,Unknown or None,Black Hair,Living Characters,8.0,"2008, December",2008.0
2737,Jebediah Kent (New Earth),Public Identity,Unknown or None,Unknown or None,Blond Hair,Deceased Characters,8.0,"1997, August",1997.0
2738,Emmett Vale (New Earth),Public Identity,Unknown or None,Unknown or None,Grey Hair,Living Characters,8.0,"1986, October",1986.0
