id,Name,Type,Vendor,Calories,Fat (g),Protein (g),Carbohydrate (g),Cholesterol (mg),Saturated Fats (g),Sodium (mg),Serving Weight 1 (g),200 Calorie Weight (g)
387,McDonalds Bacon Egg & Cheese Mcgriddles,Salad,McDonalds,272.0,13.19,12.03,26.19,147.0,4.201,673.0,165.0,73.529
388,McDonalds Bacon Ranch Salad With Crispy Chicken,Salad,McDonalds,122.0,6.3,8.82,6.08,22.0,1.622,273.0,319.0,163.934
389,McDonalds Bacon Ranch Salad With Grilled Chicken,Salad,McDonalds,81.0,3.14,10.28,3.64,28.0,1.235,230.0,305.0,246.914
390,McDonalds Bacon Ranch Salad Without Chicken,Salad,McDonalds,61.0,3.64,4.14,4.2,12.0,1.507,132.0,223.0,327.869
391,McDonalds Side Salad,Salad,McDonalds,20.0,0.19,1.03,4.3,0.0,0.02,12.0,87.0,1000.0
392,Coleslaw (Fast Food),Salad,Other,153.0,9.91,0.95,14.89,4.0,1.599,203.0,191.0,130.719
393,Popeyes Coleslaw,Salad,Popeyes,161.0,11.18,0.98,14.12,7.0,1.887,218.0,120.0,124.224
394,Taco Bell Taco Salad,Salad,Taco Bell,170.0,9.17,6.69,15.1,19.0,2.979,363.0,533.0,117.647
395,Arbys Roast Beef Sandwich Classic,Sandwich,Arbys,242.0,10.3,15.17,22.21,30.0,3.399,653.0,149.0,82.645
396,Burger King Croissanwich With Egg And Cheese,Sandwich,Burger King,283.0,15.78,10.35,24.79,139.0,4.766,650.0,110.0,70.671
397,Burger King Croissanwich With Sausage And Cheese,Sandwich,Burger King,376.0,25.45,13.73,23.0,43.0,8.595,782.0,131.0,53.191
398,Burger King Croissanwich With Sausage Egg And Cheese,Sandwich,Burger King,308.0,21.78,12.09,15.9,123.0,8.342,577.0,171.0,64.935
399,Burger King Original Chicken Sandwich,Sandwich,Burger King,286.0,14.69,12.14,26.22,31.0,2.723,638.0,199.0,69.93
400,Burger King Premium Fish Sandwich,Sandwich,Burger King,260.0,12.45,10.29,26.69,31.0,1.949,602.0,220.0,76.923
401,Chick-Fil-A Chicken Sandwich,Sandwich,Chick-Fil-A,249.0,11.19,16.28,20.89,35.0,2.123,753.0,187.0,80.321
402,McDonalds Mcchicken Sandwich,Sandwich,McDonalds,273.0,13.21,10.43,27.97,27.0,2.346,624.0,131.0,73.26
403,McDonalds Mcchicken Sandwich (Without Mayonnaise),Sandwich,McDonalds,240.0,8.46,11.08,30.95,22.0,1.636,555.0,138.0,83.333
404,McDonalds Sausage Mcmuffin,Sandwich,McDonalds,333.0,21.06,12.66,24.52,39.0,7.253,693.0,115.0,60.06
405,McDonalds Sausage Mcmuffin With Egg,Sandwich,McDonalds,274.0,17.83,12.59,17.28,154.0,6.008,572.0,165.0,72.993
406,Bacon Lettuce Tomato And Cheese Submarine Sandwich With Spread,Sandwich,Subway,233.0,13.96,10.97,15.7,33.0,5.279,701.0,260.0,85.837
407,Buffalo Chicken Submarine Sandwich,Sandwich,Subway,186.0,7.81,9.79,19.12,23.0,1.427,308.0,240.0,107.527
408,Buffalo Chicken Submarine Sandwich With Cheese,Sandwich,Subway,203.0,9.77,11.43,17.35,28.0,3.056,367.0,260.0,98.522
409,Pepperoni And Salami Submarine Sandwich With Lettuce Tomato And Spread,Sandwich,Subway,225.0,12.82,7.46,19.49,19.0,3.487,511.0,240.0,88.889
410,Roast Beef Submarine Sandwich With Cheese Lettuce Tomato And Spread,Sandwich,Subway,190.0,7.33,11.93,18.68,23.0,2.236,404.0,260.0,105.263
411,Roast Beef Submarine Sandwich With Lettuce Tomato And Spread,Sandwich,Subway,181.0,6.16,11.64,19.4,19.0,1.483,344.0,240.0,110.497
412,Steak And Cheese Submarine Sandwich With Fried Peppers And Onions On Roll,Sandwich,Subway,232.0,10.07,16.26,18.21,37.0,3.809,283.0,260.0,86.207
413,Subway B.l.t. Sub On White Bread With Bacon Lettuce And Tomato,Sandwich,Subway,205.0,6.41,10.06,26.66,13.0,1.917,354.0,148.0,97.561
414,Subway Black Forest Ham Sub On White Bread With Lettuce And Tomato,Sandwich,Subway,151.0,2.53,9.12,22.91,12.0,0.626,396.0,184.0,132.45
415,Subway Cold Cut Sub On White Bread With Lettuce And Tomato,Sandwich,Subway,214.0,10.04,10.52,20.43,27.0,3.554,575.0,196.0,93.458
416,Subway Meatball Marinara Sub On White Bread (No Toppings),Sandwich,Subway,219.0,8.45,9.77,26.01,15.0,3.124,437.0,209.0,91.324
417,Subway Oven Roasted Chicken Sub On White Bread With Lettuce And Tomato,Sandwich,Subway,157.0,3.15,10.84,21.35,23.0,0.724,268.0,198.0,127.389
418,Subway Roast Beef Sub On White Bread With Lettuce And Tomato,Sandwich,Subway,155.0,2.73,12.17,20.34,18.0,0.972,329.0,190.0,129.032
419,Subway Steak & Cheese Sub On White Bread With American Cheese Lettuce And Tomato,Sandwich,Subway,183.0,5.34,12.29,21.49,24.0,2.032,444.0,201.0,109.29
420,Subway Subway Club Sub On White Bread With Lettuce And Tomato,Sandwich,Subway,146.0,2.42,10.66,20.36,16.0,0.57,348.0,207.0,136.986
421,Subway Sweet Onion Chicken Teriyaki Sub On White Bread With Lettuce Tomato And Sweet Onion Sauce,Sandwich,Subway,155.0,2.37,10.91,22.54,22.0,0.505,305.0,228.0,129.032
422,Subway Tuna Sub,Sandwich,Subway,221.0,12.04,12.33,15.95,28.0,2.192,329.0,237.0,90.498
423,Subway Turkey Breast Sub On White Bread With Lettuce And Tomato,Sandwich,Subway,147.0,2.31,9.12,22.42,10.0,0.476,317.0,184.0,136.054
424,Turkey And Bacon Submarine Sandwich With Cheese Lettuce Tomato And Spread,Sandwich,Subway,222.0,11.45,12.18,17.46,25.0,3.792,490.0,260.0,90.09
425,Turkey And Bacon Submarine Sandwich With Lettuce Tomato And Spread,Sandwich,Subway,206.0,9.47,10.43,19.45,19.0,2.062,439.0,240.0,97.087
426,Turkey Ham And Roast Beef Club Sandwich With Lettuce Tomato And Spread,Sandwich,Subway,166.0,8.06,7.8,15.18,19.0,2.072,508.0,240.0,120.482
427,Vegetable Submarine Sandwich With Fat Free Spread,Sandwich,Subway,125.0,1.95,3.88,23.03,0.0,0.392,386.0,240.0,160.0
428,Wendys Homestyle Chicken Fillet Sandwich,Sandwich,Wendys,214.0,8.1,13.78,21.55,31.0,1.618,401.0,230.0,93.458
429,Wendys Ultimate Chicken Grill Sandwich,Sandwich,Wendys,179.0,5.0,14.73,18.88,40.0,1.03,427.0,225.0,111.732
430,Sushi Nfs,Sushi,Other,93.0,0.67,2.92,18.42,4.0,0.133,429.0,30.0,215.054
431,Sushi Roll Avocado,Sushi,Other,92.0,1.46,1.81,17.71,0.0,0.223,361.0,30.0,217.391
432,Sushi Roll California,Sushi,Other,93.0,0.67,2.92,18.42,4.0,0.133,429.0,30.0,215.054
433,Sushi Roll Eel,Sushi,Other,127.0,3.71,7.1,15.3,39.0,0.751,424.0,30.0,157.48
434,Sushi Roll Salmon,Sushi,Other,103.0,1.28,6.88,15.3,12.0,0.226,351.0,30.0,194.175
435,Sushi Roll Shrimp,Sushi,Other,100.0,0.55,7.01,15.67,51.0,0.154,359.0,30.0,200.0
436,Sushi Roll Tuna,Sushi,Other,97.0,0.25,7.4,15.3,10.0,0.069,343.0,30.0,206.186
437,Sushi Roll Vegetable,Sushi,Other,92.0,1.46,1.81,17.71,0.0,0.223,361.0,22.0,217.391
438,Sushi Topped With Crab,Sushi,Other,95.0,0.27,3.85,18.59,7.0,0.098,474.0,35.0,210.526
439,Sushi Topped With Eel,Sushi,Other,142.0,5.19,9.24,13.39,55.0,1.051,422.0,35.0,140.845
440,Sushi Topped With Egg,Sushi,Other,116.0,4.63,7.0,10.74,168.0,1.588,412.0,50.0,172.414
441,Sushi Topped With Salmon,Sushi,Other,107.0,1.74,8.92,13.39,18.0,0.305,318.0,35.0,186.916
442,Sushi Topped With Shrimp,Sushi,Other,103.0,0.7,9.1,13.92,73.0,0.204,329.0,35.0,194.175
443,Sushi Topped With Tuna,Sushi,Other,100.0,0.28,9.66,13.39,14.0,0.083,306.0,35.0,200.0
444,Waffle Chocolate,Waffle,Other,433.0,22.5,9.06,48.63,64.0,7.925,659.0,10.0,46.189
445,Waffle Chocolate From Fast Food / Restaurant,Waffle,Other,476.0,28.67,8.59,46.09,61.0,8.515,675.0,10.0,42.017
446,Waffle Chocolate From Frozen,Waffle,Other,320.0,10.5,7.43,48.94,14.0,3.094,507.0,10.0,62.5
447,Waffle Cinnamon,Waffle,Other,368.0,18.55,8.68,41.66,70.0,4.265,764.0,10.0,54.348
448,Waffle Cornmeal,Waffle,Other,264.0,11.38,6.84,33.04,52.0,2.011,480.0,10.0,75.758
449,Waffle Fruit,Waffle,Other,304.0,14.74,6.93,36.24,55.0,3.359,600.0,10.0,65.789
450,Waffle Fruit From Fast Food / Restaurant,Waffle,Other,350.0,20.92,6.59,34.46,52.0,4.138,618.0,10.0,57.143
451,Waffle Fruit From Frozen,Waffle,Other,296.0,9.05,7.07,46.58,12.0,2.172,504.0,10.0,67.568
452,Waffle Plain,Waffle,Other,368.0,18.59,8.69,41.49,70.0,4.274,766.0,10.0,54.348
453,Waffle Plain From Fast Food / Restaurant,Waffle,Other,422.0,26.14,8.15,38.91,66.0,5.199,779.0,10.0,47.393
454,Waffle Plain Reduced Fat,Waffle,Other,338.0,14.41,8.98,42.88,73.0,3.761,792.0,10.0,59.172
455,Waffle Plain Reduced Fat From Frozen,Waffle,Other,289.0,6.96,9.37,46.19,43.0,1.829,511.0,10.0,69.204
456,Waffle Whole Grain,Waffle,Other,360.0,18.98,9.21,38.58,73.0,4.287,855.0,10.0,55.556
457,Waffle Whole Grain From Fast Food / Restaurant,Waffle,Other,416.0,26.73,8.63,36.12,68.0,5.238,863.0,10.0,48.077
458,Waffle Whole Grain From Frozen,Waffle,Other,288.0,8.39,6.78,46.7,0.0,1.362,529.0,10.0,69.444
459,Waffle Whole Grain Fruit From Frozen,Waffle,Other,277.0,8.02,6.48,45.06,0.0,1.3,504.0,10.0,72.202
460,Waffle Whole Grain Reduced Fat,Waffle,Other,329.0,14.69,9.53,39.92,75.0,3.758,885.0,10.0,60.79
